texp,rb_current,cnt_00,cnt_01,cnt_10,cnt_11,p0,p1,cnt_0,cnt_1,p_01,p_10,error
2.0,3.2,2189,64,83,1665,0.49953145498844254,0.5004685450115575,2272,1729,0.03701561596298438,0.03653169014084507,0.07354730610382945
2.5,3.2,2268,40,48,1657,0.49574859065001403,0.504251409349986,2316,1697,0.02357100766057749,0.02072538860103627,0.04429639626161376
3.0,3.2,2152,20,20,1747,0.5085681645087585,0.4914318354912414,2172,1767,0.011318619128466326,0.009208103130755065,0.02052672225922139
3.5,3.2,2178,10,20,1755,0.5025542381432896,0.4974457618567104,2198,1765,0.0056657223796034,0.009099181073703366,0.014764903453306766
4.0,3.2,2190,4,13,1755,0.5013407363008296,0.4986592636991703,2203,1759,0.0022740193291642978,0.005901044030866999,0.008175063360031296
4.5,3.2,2244,3,9,1676,0.5019548011824163,0.4980451988175837,2253,1679,0.001786777843954735,0.0039946737683089215,0.005781451612263656
5.0,3.2,2246,0,3,1705,0.5013276854017829,0.4986723145982171,2249,1705,0.0,0.0013339261894175188,0.0013339261894175188
5.5,3.2,2209,0,7,1787,0.5000936621916953,0.49990633780830473,2216,1787,0.0,0.00315884476534296,0.00315884476534296
6.0,3.2,2244,0,1,1708,0.4983401308925353,0.5016598691074646,2245,1708,0.0,0.00044543429844097997,0.00044543429844097997
6.5,3.2,2205,1,5,1697,0.5029740965781899,0.49702590342181,2210,1698,0.0005889281507656066,0.0022624434389140274,0.002851371589679634
7.0,3.2,2274,1,5,1637,0.4989628873216964,0.5010371126783036,2279,1638,0.0006105006105006105,0.002193944712593243,0.0028044453230938533
7.5,3.2,2203,1,1,1793,0.4963576676567141,0.5036423323432859,2204,1794,0.0005574136008918618,0.00045372050816696913,0.0010111341090588309
8.0,3.2,2306,0,3,1638,0.5031352926273119,0.4968647073726881,2309,1638,0.0,0.00129926375054136,0.00129926375054136
8.5,3.2,2201,0,2,1796,0.50065625,0.49934375,2203,1796,0.0,0.0009078529278256923,0.0009078529278256923
9.0,3.2,2247,2,3,1716,0.49565326949729116,0.5043467305027088,2250,1718,0.0011641443538998836,0.0013333333333333333,0.002497477687233217
